Inhib,ABT199,A1331852,S63845,ABT199_A1331852,ABT199_S63845,A1331852_S63845
0,100,100,100,100,100,100
0.1,90,100,100,90,100,100
0.2,70,100,100,80,90,100
0.3,70,100,100,70,60,100
0.4,70,100,100,70,50,100
0.5,50,100,100,60,30,100
0.6,40,100,100,40,30,100
0.7,40,100,100,40,30,100
0.8,0,100,100,20,30,90
0.9,0,100,100,0,10,90
1,0,100,100,0,0,90
