Cell,Bcl2,BclxL,Mcl1,A1,BAK,BAX,BIM,NOXA,PUMA
RIVA,2.32,0.037,0.614,0,1.297,0.59,1.689,0.771,2.9
U2932,2.704,0.253,1.557,0,0.899,0.612,2.607,2.674,1.084
RCK8,0.976,3.7,1.365,5.634,1.194,2.609,0.042,0.169,1.249
SUDHL8,0,2.009,0.822,0.366,1.612,1.527,0.828,1.532,0.768
SUDHL10,0,0,0.962,0,0.693,0.168,0.064,0.616,0
U2946,0,0,0.681,0,0.304,0.493,0.771,0.239,0
