Protein,RIVA,U2932,RCK8,SUDHL8,SUDHL10,U2946
Bcl2,2575.749,3370.749,153.556,0,0,0
BclxL,353.435,167.435,2342.092,1278.092,0,0
Mcl1,333.899,1720.627,588.314,664.142,1109.263,1463.042
A1,0,0,186.142,105.728,0,0
BAK,658.092,578.385,541.799,604.506,469.799,480.849
BAX,982.092,872.971,1661.092,1410.506,349.556,1114.678
BIM,928.213,1131.213,77.607,387.556,105.728,987.092
NOXA,928.598,2650.912,212.849,0,679.042,567.92
PUMA,781.092,367.385,426.092,100.314,0,0
