Inhib,ABT199,A1331852,S63845
0,100,100,100
0.1,100,100,100
0.2,90,100,100
0.3,90,100,100
0.4,90,100,100
0.5,80,100,100
0.6,70,100,100
0.7,60,100,100
0.8,20,100,100
0.9,20,100,100
1,20,100,100
