Protein,RIVA,U2932,SUDHL8,RCK8,SUDHL10,U2946
BAX,2531.385,2988.92,1252.556,2435.042,0,0
BAK,0,0,1523.406,951.87,162.728,388.799
BIM,2956.284,2269.335,304.92,187.435,1456.406,1200.092
NOXA,0,0,0,0,6327.083,6536.548
Bcl2,2958.82,4122.941,0,0,0,0
BclxL,0,0,1327.92,2486.456,0,0
Mcl1,0,0,0,0,3215.406,5259.497
