Inhib,ABT199,A1331852,S63845
0,100,100,100
0.1,100,100,100
0.2,100,100,100
0.3,100,100,100
0.4,90,100,100
0.5,80,100,100
0.6,60,100,100
0.7,20,100,100
0.8,20,100,90
0.9,0,100,80
1,0,100,80
